id,en,ja,pos,theme,level,is_frequent
547,kind,やさしい・親切な,adjective,adj_emotion,eiken5,0
548,cloudy,くもりの,adjective,adj_weather,eiken5,0
549,rainy,雨の,adjective,adj_weather,eiken5,0
550,sunny,晴れた,adjective,adj_weather,eiken5,0
551,windy,風の強い,adjective,adj_weather,eiken5,0
552,snowy,雪の,adjective,adj_weather,eiken5,0
553,warm,暖かい,adjective,adj_weather,eiken5,0
554,many,たくさんの,adjective,adj_quantity,eiken5,0
555,little,小さな・少ない,adjective,adj_quantity,eiken5,0
557,some,いくつかの,adjective,adj_quantity,eiken5,0
558,next,隣の・次の,adjective,adj_quantity,eiken5,0
559,all,すべての,adjective,adj_quantity,eiken5,0
560,every,あらゆる,adjective,adj_quantity,eiken5,0
561,any,どの～・だれでも,adjective,adj_quantity,eiken5,0
562,a few,少しの・2・3の,adjective,adj_quantity,eiken5,0
563,each,それぞれの,adjective,adj_quantity,eiken5,0
564,first,1番目の・1日,adjective,adj_ordinal,eiken5,0
565,second,2番目の・2日,adjective,adj_ordinal,eiken5,0
566,third,3番目の・3日,adjective,adj_ordinal,eiken5,0
567,fourth,4番目の・4日,adjective,adj_ordinal,eiken5,0
568,fifth,5番目の・5日,adjective,adj_ordinal,eiken5,0
569,sixth,6番目の・6日,adjective,adj_ordinal,eiken5,0
570,seventh,7番目の・7日,adjective,adj_ordinal,eiken5,0
571,eighth,8番目の・8日,adjective,adj_ordinal,eiken5,0
572,ninth,9番目の・9日,adjective,adj_ordinal,eiken5,0
573,tenth,10番目の・10日,adjective,adj_ordinal,eiken5,0
574,eleventh,11番目の・11日,adjective,adj_ordinal,eiken5,0
575,twelfth,12番目の・12日,adjective,adj_ordinal,eiken5,0
576,up,上に,adverb,adverb,eiken5,0
577,down,下に,adverb,adverb,eiken5,0
578,out,外に,adverb,adverb,eiken5,0
580,there,そこで,adverb,adverb,eiken5,0
581,only,～だけ,adverb,adverb,eiken5,0
582,then,そのとき,adverb,adverb,eiken5,0
583,too,～もまた,adverb,adverb,eiken5,0
584,very,とても,adverb,adverb,eiken5,0
585,often,しばしば・よく,adverb,adverb,eiken5,0
586,as,～のように,adverb,adverb,eiken5,0
587,back,うしろに,adverb,adverb,eiken5,0
588,so,とても・～なので,adverb,adverb,eiken5,0
589,just,ちょうど,adverb,adverb,eiken5,0
590,now,今,adverb,adverb,eiken5,0
591,early,早くに（時間）,adverb,adverb,eiken5,0
592,not,～ない,adverb,adverb,eiken5,0
593,here,ここで・ここに・ここへ,adverb,adverb,eiken5,0
594,o'clock,～時,adverb,adverb,eiken5,0
595,really,本当に,adverb,adverb,eiken5,0
596,usually,普段,adverb,adverb,eiken5,0
597,sometimes,時々,adverb,adverb,eiken5,0
598,always,いつも,adverb,adverb,eiken5,0
599,around,～のまわりに・およそ,adverb,adverb,eiken5,0
600,near,近くに,adverb,adverb,eiken5,0
601,a.m.,午前,adverb,adverb_phrase,eiken5,0
602,together,一緒に,adverb,adverb_phrase,eiken5,0
603,after school,放課後,adverb,adverb_phrase,eiken5,0
604,at home,家で,adverb,adverb_phrase,eiken5,0
605,over there,あそこに・あそこで,adverb,adverb_phrase,eiken5,0
606,in the morning,朝に・午前中,adverb,adverb_phrase,eiken5,0
607,at school,学校で,adverb,adverb_phrase,eiken5,0
608,in the afternoon,午後に,adverb,adverb_phrase,eiken5,0
609,at night,夜に,adverb,adverb_phrase,eiken5,0
610,by bus,バスで,adverb,adverb_phrase,eiken5,0
611,by bike,バイク（自転車）で,adverb,adverb_phrase,eiken5,0
612,of,～の・～から・～より,preposition,preposition,eiken5,0
613,on,上に・～について,preposition,preposition,eiken5,0
614,with,～と一緒に,preposition,preposition,eiken5,0
615,in,～の中に,preposition,preposition,eiken5,0
616,to,～へ・～に対して,preposition,preposition,eiken5,0
617,at,～で（場所）,preposition,preposition,eiken5,0
618,from,～から・～からはなれて,preposition,preposition,eiken5,0
619,about,～について・約,preposition,preposition,eiken5,0
620,under,～の下に,preposition,preposition,eiken5,0
621,by,～のそばで・そばに,preposition,preposition,eiken5,0
622,for,～のために,preposition,preposition,eiken5,0
623,before,～の前に,preposition,preposition,eiken5,0
624,from A to B,AからBまで,preposition,preposition,eiken5,0
625,off,～からはなれて,preposition,preposition,eiken5,0
626,over,～をこえて,preposition,preposition,eiken5,0
627,after,～のあとで,preposition,preposition,eiken5,0
628,into,～の中へ,preposition,preposition,eiken5,0
629,among,～の間で,preposition,preposition,eiken5,0
630,along,～に沿って,preposition,preposition,eiken5,0
631,a lot of,たくさんの,phrase,phrase,eiken5,0
632,on TV,テレビで,phrase,phrase,eiken5,0
633,a glass of,グラス1杯の～,phrase,phrase,eiken5,0
634,is from -,～は…出身です。,phrase,phrase,eiken5,0
635,on Saturdays,毎週土曜日に,phrase,phrase,eiken5,0
636,a little,少し,phrase,phrase,eiken5,0
637,do one's homework,宿題をする,phrase,phrase,eiken5,0
638,a big fan of,～の大ファン,phrase,phrase,eiken5,0
640,play games,ゲームをする,phrase,phrase,eiken5,0
642,go -ing,～しに行く,phrase,phrase,eiken5,0
643,go home,家に帰る,phrase,phrase,eiken5,0
644,go to,～に行く,phrase,phrase,eiken5,0
645,like -ing,～するのが好き,phrase,phrase,eiken5,0
646,speak to,～と話す,phrase,phrase,eiken5,0
647,take a picture,写真を撮る,phrase,phrase,eiken5,0
648,a cup of,コップ1杯の～,phrase,phrase,eiken5,0
649,on weekends,毎週末に,phrase,phrase,eiken5,0
650,year(s) old,～歳,phrase,phrase,eiken5,0
